society_id,society_name,region,lat,lon,focal_year,EA030_code,EA030_label,comment,references
Ad20,Nyamwezi,,-5,33,1920,6,Hamlets,,blohm193133; bosch1930; spellig1927
Ad21,Pimbwe,,-7,31,1930,7,Villages/towns,,maurice193538
Ad22,Sukuma,,-3,34,1950,5,Dispersed homesteads,,abrahams1967; cory1953; malcolm1953
Ad23,Sangu,,-8,34,1910,7,Villages/towns,,heese1913; mumford1934
Ad24,Gogo,,-7,36,1910,5,Dispersed homesteads,,claus1911; paulssen1922; rigby1966; schaegelen1938
Ad25,Rangi,,-5,36,1900,5,Dispersed homesteads,,baumstark1900; gray1953; kannenberg1900
Ad26,Turu,,-5,34,1910,5,Dispersed homesteads,,sick1916
Ad27,Kwere,,-7,39,1880,6,Hamlets,,picarda1886; reidelman1967
Ad28,Zigula,,-5.84,38.79,1880,6,Hamlets,,baumann1891; beidelman1967; picarda1886
Ad29,Hadimu,,-6.07,39.43,1930,7,Villages/towns,,ingrams1930; prins1961
Ad3,Chagga,,-3,37,1910,5,Dispersed homesteads,,abbott1892; dundas1924; gutmann1913; gutmann1926; raum1940; stahl1964
Ad30,Digo,,-4,39,1890,7,Villages/towns,,baumann1891; prins1952; stpaulhilaire1895
Ad31,Duruma,,-4,39,1910,NA,Missing data,,
Ad32,Giriama,,-3,40,1900,7,Villages/towns,,barrett1911b; johnstone1902; princs1952
Ad33,Pokomo,,-1,40,1900,7,Villages/towns,,fischer187879; kraft1903; prins1952; werner1913
Ad34,Kamba,,-2,38,1910,6,Hamlets,"But 'villages/towns' (code ""7"") today",dundas1915; hildebrandt1878; lindblom1916; middleton1953; penwill1951
Ad35,Meru,,0,35,1940,5,Dispersed homesteads,,holding1942; lambert1956; middleton1953
Ad36,Pare,,-4,38,1890,5,Dispersed homesteads,,baumann1891; storch1895
Ad37,Teita,,-4,39,1940,5,Dispersed homesteads,,bostock1950; prins1950; prins1952
Ad38,Kara,,-2,33,1910,6,Hamlets,,paterson1956; paulssen1914; thorntonandrounce1936
Ad39,Sonjo,,-3,36,1950,7,Villages/towns,,gray1963
Ad4,Kikuyu,,-1,37,1930,7,Villages/towns,"Formerly 'dispersed homesteads' (code ""5"")",cagnolo1933; hailey1950; kenyatta1939; lambert1950; lambert1956; leakey1952; leakey1977; macphee1968; middleton1953; ross1968; routledgeandroutledge1910; tignor1976
Ad40,Tiriki,,0,35,1950,5,Dispersed homesteads,,sangree1965
Ad41,Vugusu,,1,35,1930,5,Dispersed homesteads,"But formerly 'villages/towns' (code ""7"")",wagner1939; wagner1940; wagner194950
Ad42,Haya,,-1,32,1900,5,Dispersed homesteads,,autenrieth1908; cesard193537; coryandhartnoll1945; rehse1910; taylor1962; weiss1926
Ad43,Kerewe,,-3,33,1900,5,Dispersed homesteads,,hurel1911
Ad44,Konjo,,-1,30,1920,5,Dispersed homesteads,,czekanowski1924:358-399; taylor1962
Ad45,Nyankole,,0,31,1920,5,Dispersed homesteads,But the dominant pastoral Hima are nomadic,oberg1938; oberg1940; roscoe1923b; taylor1962
Ad46,Soga,,1,33,1950,5,Dispersed homesteads,,fallers1956; fallers1960; roscoe1915
Ad47,Sumbwa,,-4,32,1900,5,Dispersed homesteads,,abrahams1967; blohm193133; desoignies1903
Ad48,Toro,,1,31,1950,5,Dispersed homesteads,,taylor1962
Ad49,Zinza,,-3,31,1950,5,Dispersed homesteads,,taylor1962
Ad5,Mbugwe,,-4,36,1940,NA,Missing data,,
Ad50,Kaguru,,-6,37,1900,7,Villages/towns,"But 'separated hamlets' (code ""7"") today",beidelman1967
Ad51,Ngulu,,-6,38,1930,7,Villages/towns,,beidelman1967; mcvicar1934
Ad6,Nyakyusa,,-9,34,1930,7,Villages/towns,,charsleyandmckenny1974; lehmann1951; mckenny1973; wilson1936; wilson1938; wilson1951a; wilson1951b; wilson1957; wilson1959; wilson1977
Ad7,Ganda,,1,32,1880,7,Villages/towns,,fallers1960; kagwa1934; kottack1972; lugira1970; mair1934; malysevand; murdock1934k; perlman1969; richards1960a; richards1966; roscoe1911; rusch1975; semakulakiwanuka1972; southwold1965; southwold1971
Ad8,Hehe,,-8,35,1910,5,Dispersed homesteads,,brownandhutt1935; dempwolff1914; nigmann1908
Ad9,Gisu,,1,34,1900,5,Dispersed homesteads,,lafontaine1959; roscoe1915
Ae1,Amba,,1,30,1950,6,Hamlets,"Formerly villages/towns (code ""7"")",winter1956; winter1958
Ae10,Banyaruanda,,-2,30,1910,5,Dispersed homesteads,,czekanowski1917; dhertefelt1965; dhertefeltetal1962; maquet1955; maquet1967; pages1933; vanhove1941
Ae11,Songola,,-4,26,1900,7,Villages/towns,,delhaise1909a
Ae12,Duala,,4,10,1940,7,Villages/towns,,ardener1956; brutsch1950; buchner1887
Ae13,Bashi,,-2,29,1920,NA,Missing data,,
Ae14,Ha,,-5,30,1950,5,Dispersed homesteads,,hertefeltetal1962
Ae15,Hunde,,-2,28,1940,7,Villages/towns,,schumacher1949; viaene1951; viaene1952
Ae16,Lulua,,-6,23,1910,NA,Missing data,,
Ae17,Rega,,-3,28,1900,8,Complex permanent,,delhaise1909b; salmon1953
Ae18,Songye,,-6,25,1900,8,Complex permanent,,tordayandjoyce1922; vanoverbergh1908
Ae19,Garanganze,,-11,28,1930,NA,Missing data,,
Ae2,Kpe,,4.22,9.27,1950,7,Villages/towns,,ardener1956; leuschner1903
Ae20,Ekonda,,-2,18,1940,6,Hamlets,,brown1944; gilliard1925; muller1956; philippe1954; vanderkerken1944
Ae21,Kela,,-3,23,1920,7,Villages/towns,,empain1922; tordayandjoyce1922
Ae22,Kutsu,,-4,22,1900,7,Villages/towns,,tordayandjoyce1922; vanlaere1900
Ae23,Lalia,,-1,23,1930,NA,Missing data,,
Ae24,Mongo,,1,22,1920,NA,Missing data,,
Ae25,Tetela,,-4,25,1920,NA,Missing data,,
Ae26,Topoke,,0,24,1910,7,Villages/towns,,torday1911; tordayandjoyce1922
Ae27,Lokele,,1,25,1910,7,Villages/towns,,bertrand1920; smith1911
Ae28,Ngala,,1,18,1900,7,Villages/towns,,burssens1958; vanoverbergh1907a; weeks190910; weeks1913
Ae29,Poto,,2,22,1900,7,Villages/towns,,hutereau1910a; lindemann1906
Ae3,Fang,,1,11,1910,7,Villages/towns,"Recently changed to 'separated hamlets' (code ""7"")",alexandreandbinet1958; tessmann1913; trezenem1936
Ae30,Bira,,1,29,1920,7,Villages/towns,,czekanowski1924:327-357; vangeluwe1956
Ae31,Budu,,2,28,1920,7,Villages/towns,,czekanowski1924:282-297; vangeluwe1960
Ae32,Kumu,,-1,27,1920,7,Villages/towns,,vangeluwe1956
Ae33,Ndaka Babali,,1,27,1920,7,Villages/towns,,czekanowski1924:319-326; moeller1936; schebesta1934; vangeluwe1960
Ae34,Plains Bira,,1,30,1920,5,Dispersed homesteads,,czekanowski1924:327-357; joset1936; vangeluwe1956
Ae35,Rumbi,,0,28,1900,7,Villages/towns,,maes1909; vangeluwe1956
Ae36,Bombesa,,1,23,1920,7,Villages/towns,,verbeke1928
Ae37,Budja,,3,23,1930,NA,Missing data,,
Ae38,Ndoko,,2,21,1920,7,Villages/towns,,wijnant192526
Ae39,Ngombe,,2,20,1920,7,Villages/towns,,burssens1958; wolfe1961; wolfe1965
Ae4,Nkundo,,0,20,1930,6,Hamlets,,boelaert1940; brepoels1930; gutersohn1920; hulstaert1938; hulstaert1971; schebesta1936; vanderkerken1944
Ae40,Dzem,,3,14,1910,7,Villages/towns,,allys1930; koch1913
Ae41,Kota,,1,14,1940,7,Villages/towns,,andersson1953
Ae42,Ngumba,,3,11,1900,7,Villages/towns,,conradt1902; dugast1949
Ae43,Sanga,,2,16,1900,7,Villages/towns,,burel1910; koch1913
Ae44,Bubi,,3.54,8.72,1920,7,Villages/towns,,baumann1888; gildelgado1949; tessmann1923
Ae45,Kundu,,10,9,1900,7,Villages/towns,,bufe1913; lessner1904
Ae46,Mpongwe,,-2,10,1870,7,Villages/towns,,allegret1927; burton1876; duchaillu1861
Ae47,Puku,,2,10,1900,7,Villages/towns,,oertzen1903; zeller1885
Ae48,Bafia,,5,11,1930,5,Dispersed homesteads,,mccullochetal1954; tessmann1934
Ae49,Bali Nyonga,,6,10,1900,NA,Missing data,,
Ae5,Bamileke,,5,10,1910,6,Hamlets,,egerton1939; mccullochetal1954
Ae50,Bamum,,6,11,1920,7,Villages/towns,,hutter1907; martin1951; mccullochetal1954; reinwuhrmann1925
Ae51,Banen,,5,11,1940,5,Dispersed homesteads,,dugast1944; dugast1955; dugast1959; mccullochetal1954; tessmann1934
Ae52,Fungom,,7,10,1950,NA,Missing data,,
Ae53,Koko,,4,11,1920,NA,Missing data,,
Ae54,Kom,,6,10,1950,NA,Missing data,,
Ae55,Ndob,,6,10,1950,7,Villages/towns,,kaberry1952; mccullochetal1954
Ae56,Nsaw,,6,11,1950,7,Villages/towns,,kaberry1952; mccullochetal1954
Ae57,Nsungli,,6,11,1930,7,Villages/towns,,kaberry1952; mccullochetal1954; sieberandsieber1938
Ae58,Tikar,,6,12,1910,7,Villages/towns,,thorbecke1916; thorbeckeandthorbecke1919
Ae59,Widikum,,6,10,1950,NA,Missing data,,
Ae6,Luba,,-8,26,1930,7,Villages/towns,,verhulpen1936
Ae7,Baboa,,3,25,1910,6,Hamlets,,czekanowski1924:257-281; halkin1911; hutereau1909; vedy1904
Ae8,Rundi,,-3,30,1910,5,Dispersed homesteads,,bourgeois1954; delacauw1936; dhertefeltetal1962; meyer1916; simons1944; vanderburgt1903
Ae9,Fut,,6,10,1950,7,Villages/towns,,kaberry1952; mccullochetal1954
Af1,Fon,,7,2,1890,7,Villages/towns,,argyle1966; bohannan1949; herskovits1932; herskovits1937a; herskovits1938; herskovitsandherskovits1933; leheriss1911; lombard1967; mercier1954; murdock1934b:551-595; skertchley1874; tarditsandtardits1962
Af10,Igbo,,6,7,1930,6,Hamlets,,ardener1954; egboh1971; egboh1972a; egboh1972b; egboh19734; fordeandjones1950; green1947; leithross1939; uchendu1965
Af11,Toma,,11,-9,1920,7,Villages/towns,,gaborydubourdeau1926; rouet1907; schwab1947
Af12,Akyem,,7,-1,1930,7,Villages/towns,,field1949; mead1937a
Af13,Ebira,,8,7,1920,7,Villages/towns,,brown1955; wilsonhaffenden1930
Af14,Sherbro,,7.52,-12.69,1930,7,Villages/towns,,hall1938; mcculloch1950; thomas1916
Af15,Kpelle,,7,-9,1920,7,Villages/towns,,gibbs1963; gibbs1965; schwab1947; westermann1921
Af16,Banyang,,6,9,1910,7,Villages/towns,"But Ruel reports 'separated hamlets' (code ""7"")",ruel1956; schuster1914; staschewski1917
Af17,Boki,,6,9,1900,7,Villages/towns,,mansfeld1908; talbot1926
Af18,Ekoi,,6,8,1900,7,Villages/towns,,bystrom1954; talbot1912
Af19,Efik,,5,8,1950,7,Villages/towns,,fordeandjones1950; simmons1957; simmons1960
Af2,Kissi,,9,-10,1950,7,Villages/towns,,neel1913; paulme1954
Af20,Ibibio,,5,8,1910,6,Hamlets,,fordeandjones1950; talbot1915; talbot1923
Af21,Ijaw,,4.37,6.58,1920,7,Villages/towns,,granvilleandroth1898; talbot1932
Af22,Itsekiri,,6,5,1940,7,Villages/towns,,lloyd1957; omoneukanrin1942
Af23,Afikpo,,6,8,1950,7,Villages/towns,,ottenberg1960; ottenberg1965a; ottenberg1965b
Af24,Edo,,6,6,1900,7,Villages/towns,,bradbury1957; roth1903; thomas1910
Af25,Isoko,,5,6,1930,8,Complex permanent,,bradbury1957; welch1934
Af26,Kukuruku,,7,6,1900,7,Villages/towns,,bradbury1957; thomas1910
Af27,Eloyi,,8,8,1950,7,Villages/towns,,fordeetal1955; tschudi1956
Af28,Gbagyi,,10,10,1910,7,Villages/towns,,gunnandconant1960
Af29,Idoma,,7,8,1950,5,Dispersed homesteads,,armstrong1954; fordeetal1955; temple1922
Af3,Ashanti,,7,-2,1900,7,Villages/towns,,busia1951; busia1954; fortes1949b; fortes1950; fortes1969:138-216; fortesetal1947; lystad1958; manoukian1950; rattray1916; rattray1923; rattray1927; rattray1929; service1963; wilks1967; wilks1975
Af30,Igala,,7,7,1920,NA,Missing data,,
Af31,Koro,,18,8,1960,NA,Missing data,,
Af32,Egba,,7,3,1920,7,Villages/towns,,ajisafe1924; forde1951
Af33,Ekiti,,8,5,1950,7,Villages/towns,,forde1951; lloyd1955; lloyd1965; ward1937
Af34,Ife,,7,5,1930,7,Villages/towns,,bascom1942; bascom1944; forde1951
Af35,Adangme,,6,0,1940,7,Villages/towns,,daniell1856; field1943; halleran1951
Af36,Ewe,,7,1,1900,8,Complex permanent,,asmis1911; klose1899; manoukian1952a; spieth1906; spieth1911; westermann1935
Af37,Buem,,7.22,0.46,1900,7,Villages/towns,,asmis1911; hinderling195253; plehn1898
Af38,Abron,,7.53,-2.15,1900,7,Villages/towns,,alland1963; clozelandvillamur1902; tauxier1921
Af39,Anyi,,7,-4,1900,5,Dispersed homesteads,,clozelandvillamur1902; kobben1956; tauxier1932; villamuranddelafosse1904
Af4,Yako,,6,8,1930,7,Villages/towns,,forde1939; forde1941; forde1950; forde1952; forde1964
Af40,Assini,,5.27,-3.58,1890,7,Villages/towns,,loyer1745; mouezy1942; reichenbach1890
Af41,Attie,,6,-4,1890,7,Villages/towns,,crosson1900; dreyfus1900; vincenti1922
Af42,Fante,,6,-1,1900,7,Villages/towns,,christensen1954; conolly1897; ffoulkes1908; ffoulkes1909; manoukian1950; sarbah1897
Af43,Ga,,6,0,1930,8,Complex permanent,,daniell1856; field1937; field1940; manoukian1950
Af44,Alagya,,5.22,-4.42,1900,NA,Missing data,,
Af45,Avikam,,5.15,-5.25,1900,7,Villages/towns,,clozelandvillamur1902; grivot1942
Af46,Bakwe,,5,-7,1900,7,Villages/towns,,clozelandvillamur1902; coutouly1920
Af47,Krahn,,6,-8,1940,7,Villages/towns,,beckerdonner1944; schwab1947
Af48,Kru,,5,-9,1850,7,Villages/towns,,wilson1856
Af49,Sapo,,6,-9,1940,7,Villages/towns,,schwab1947
Af5,Mende,,8,-11,1930,8,Complex permanent,,bockani1945; crosby1937; little1947; little1948; little1951; little1954; little1970; mcculloch1950; staub1936
Af50,Dan,,8,-8,1920,7,Villages/towns,,chevalier1908; himmelheberandhimmelheber1958; vendeix1924
Af51,Gagu,,7,-6,1920,7,Villages/towns,,tauxier1924a
Af52,Guro,,7,-6,1920,7,Villages/towns,,tauxier1924a
Af53,Tura,,8,-7,1950,7,Villages/towns,,holas1962
Af54,Gbande,,8,-10,1930,7,Villages/towns,,germann1933; schwab1947
Af55,Gola,,7,-11,1950,8,Complex permanent,,dazevedo1962
Af56,Ngere,,7,-8,1930,7,Villages/towns,,schwab1947; viard1934
Af57,Temne,,8.46,-12.64,1910,8,Complex permanent,,langley1939; mcculloch1950; thomas1916
Af58,Vai,,6.89,-11.2,1900,7,Villages/towns,,delafosse1899; ellis1914; mcculloch1950; ronnefeldt1935; thomas1916
Af6,Oyo Yoruba,,8,4,1950,7,Villages/towns,,forde1951; lloyd1955; schwab1955
Af7,Bete,,6,-7,1950,7,Villages/towns,,dunglas1939; hallouin1947; kobben1956; paulme1962
Af8,Nupe,,9,6,1930,6,Hamlets,,banfieldandmacintyre1915; forde1955; nadel1940; nadel1942; nadel1954
Af9,Baule,,8,-5,1900,7,Villages/towns,,clozelandvillamur1902; labouret1914; menalque1933
Ag1,Bambara,,13,-7,1920,7,Villages/towns,,dieterlen1951; dieterlenandcisse1972; henry1910; monteil1924; monteil1967; paques1954
Ag10,Konkomba,,10,0,1940,6,Hamlets,,froelich1949b; froelichetal1963; manoukian1952b; tait1953; tait1956; tait1958
Ag11,Lobi,,10,-4,1910,5,Dispersed homesteads,,charles1911; haumant1929; labouret1931
Ag12,Nankanse,,10,-1,1910,5,Dispersed homesteads,,manoukian1952b; rattray1932; tauxier1912
Ag13,Kasena,,11,-1,1910,7,Villages/towns,,manoukian1952b; rattray1932; tauxier1912; zwernemann1963
Ag14,Baga,,10,-14,1950,7,Villages/towns,,aberle1953; krader1963; meo1919; paulme1956; paulme1957; vladimirtsov1948
Ag15,Balanta,,12,-16,1930,7,Villages/towns,,bernatzik1933
Ag16,Banyun,,12,-16,1930,5,Dispersed homesteads,,bernatzik1933; nogueira1947
Ag17,Biafada,,12,-15,1940,7,Villages/towns,,gomes1946
Ag18,Bijogo,,11.1,-16.15,1930,7,Villages/towns,,bernatzik1933; bernatzik1944; santoslima1947
Ag19,Diola,,12.88,-16.19,1930,7,Villages/towns,,bernatzik1933; cunhataborde1950
Ag2,Mossi (Yatenga),,13,-2,1950,5,Dispersed homesteads,,hammond1964; hammond1966; hammondnd; izardheritierandizard1959; tauxier1917; yatenga1950
Ag20,Papel,,12,-16,1930,5,Dispersed homesteads,,bernatzik1933
Ag21,Bassari,,12,-13,1910,7,Villages/towns,,lestrange1950
Ag22,Serer,,14,-12,1920,5,Dispersed homesteads,,aujas1931; bourgeau1933; dulphy1939; fayet1939
Ag23,Kasonke,,13,-11,1910,7,Villages/towns,,monteil1915
Ag24,Koranko,,9,-11,1910,7,Villages/towns,,chevalier1909; kamaraanddrummond1930; thomas1916
Ag25,Soninke,,15,10,1900,7,Villages/towns,,berengerferaud1878; boyer1953; daniel1910; nicole1903; saintpere1925
Ag26,Susu,,15,-13,1930,7,Villages/towns,,anonymous1939a; aubert1936; thomas1916
Ag27,Diula,,9,-4,1910,7,Villages/towns,,tauxier1912; tauxier1921
Ag28,Nononke,,14,-4,1930,7,Villages/towns,,monteil1932
Ag29,Samo,,13,-3,1910,7,Villages/towns,,tauxier1917
Ag3,Dogon,,15,-3,1930,7,Villages/towns,,arnaud1921; dieterlen1956; griauleanddieterlen1954; paulme1940
Ag30,Bobo,,13,-4,1910,5,Dispersed homesteads,,cremer192427; guebhard1911; tauxier1912
Ag31,Minianka,,12,-6,1910,7,Villages/towns,,cheron1913; holas1957
Ag32,Senufo,,10,-6,1900,7,Villages/towns,,delafosse190809; holas1957; vendeix1935
Ag33,Dyan,,11,-3,1920,5,Dispersed homesteads,,labouret1931
Ag34,Dorosie,,11,-4,1930,5,Dispersed homesteads,,labouret1931; tauxier1931
Ag35,Kulango,,7,-3,1910,7,Villages/towns,,tauxier1921
